: 1508199806:0;python -v
: 1508712754:0;cd Desktop/finalp
: 1508712761:0;cd Desktop/finalProj/Final
: 1508712767:0;rails s
: 1508712783:0;cd ..
: 1508712802:0;cd Final-front
: 1508712807:0;yarn start
: 1508712862:0;atom .
: 1508712951:0;rails g model chat_message content:text
: 1508712960:0;bundle exec rails db:create
: 1508712979:0;rails db:migrate
: 1508713077:0;rails db drop
: 1508713082:0;rails db:drop
: 1508713088:0;rails db:create
: 1508713094:0;rails db:migrate
: 1508713233:0;rails db:drop
: 1508713249:0;bin/rails db:environment:set RAILS_ENV=development
: 1508713256:0;rails db:drop
: 1508713261:0;rails db:create
: 1508713267:0;rails db:migrate
: 1508713514:0;rails routes
: 1508713729:0;yarn add actioncable
: 1508713877:0;rails s
: 1508713979:0;cd Desktop/finalProj
: 1508713982:0;cd back
: 1508713986:0;atom .
: 1508714040:0;rails g model chat_messege content:text
: 1508714052:0;rails db:migrate
: 1508714217:0;rails routes
: 1508714293:0;cd ..
: 1508714299:0;cd Final-front
: 1508714302:0;yarn start
: 1508714314:0;rails s
: 1508714383:0;lsof -wni tcp:3000
: 1508714402:0;kill -9 9461
: 1508714407:0;lsof -wni tcp:3000
: 1508714410:0;rails s
: 1508714656:0;rails db:drop
: 1508714662:0;rails db:create
: 1508714694:0;rails db:migrate
: 1508714704:0;rails db:seed
: 1508714712:0;rails s
: 1508715412:0;rails routes
: 1508717815:0;cd Desktop/finalProj
: 1508717818:0;cd back
: 1508717820:0;rails s
: 1508717829:0;lsof -wni tcp:3000
: 1508717843:0;kill -9 12237
: 1508717846:0;rails s
: 1508717863:0;cd ..
: 1508717869:0;cd Final-front
: 1508717881:0;rails s
: 1508717892:0;yarn start
: 1508717904:0;atom .
: 1508717926:0;atom
: 1508717950:0;atom .
: 1508718589:0;cd ..
: 1508718595:0;cd Final
: 1508718601:0;rails s
: 1508718873:0;atom .
: 1508719082:0;rails s
: 1508719207:0;spring stop
: 1508719211:0;rails s
: 1508719447:0;rails routes
: 1508719461:0;rails s
: 1508721000:0;atom .
: 1508763269:0;cd Desktop/finalProj
: 1508763274:0;cd Final-front
: 1508763277:0;atom .
: 1508763308:0;cd ..
: 1508763312:0;cd back
: 1508763316:0;atom .
: 1508763342:0;atom
: 1508763350:0;atom .
: 1508763575:0;cd ..
: 1508763614:0;atom ./Final-front ./back
: 1508763829:0;cd back
: 1508763833:0;git add .
: 1508763843:0;git commit -m "actioncable"
: 1508763858:0;git push
: 1508763868:0;git add .
: 1508763877:0;git commit -m "actioncable"
: 1508763882:0;gti push
: 1508763887:0;git push
: 1508763901:0;rails s
: 1508763908:0;yarn start
: 1508763992:0;cd ..
: 1508764006:0;cd Final
: 1508764008:0;rails s
: 1508764398:0;cd ..
: 1508764400:0;cd back
: 1508764408:0;rails s
: 1508764580:0;rails c
: 1508764656:0;cd ..
: 1508764659:0;cd Final
: 1508764662:0;rails c
: 1508764987:0;atom .
: 1508766168:0;rails s
: 1508766414:0;rails db:drop
: 1508766421:0;rails db:create
: 1508766430:0;rails db:migrate
: 1508766526:0;atom .
: 1508766691:0;rails db:drop
: 1508766695:0;rails db:create
: 1508766706:0;rails db:migrate
: 1508766715:0;rails db:drop
: 1508766722:0;rails db:create
: 1508766726:0;rails db:migrate
: 1508766734:0;rails db:seed
: 1508766741:0;rails s
: 1508768637:0;rails c
: 1508768679:0;git add .
: 1508768695:0;git commit -m 'chat working'
: 1508768699:0;git push 
: 1508773042:0;atom .
: 1508773142:0;rails c
: 1508774042:0;rails routes
: 1508774332:0;rails c
: 1508791205:0;cd ..
: 1508791209:0;cd back
: 1508791215:0;rails s
: 1508791281:0;lsof -wni tcp:3000
: 1508791290:0;kill -9 9226
: 1508791292:0;rails s
: 1508791406:0;rails c
: 1508792204:0;rails routes
: 1508850557:0;cd Desktop/finalProj/back
: 1508850576:0;atom .
: 1508850596:0;cd ..
: 1508850602:0;cd Final-front
: 1508850626:0;atom .
: 1508850715:0;git add .
: 1508850728:0;git commit -m "user show"
: 1508850733:0;git push
: 1508850739:0;git add .
: 1508850751:0;git commit -m "login & profile"
: 1508850754:0;git push
: 1508850803:0;rails s
: 1508850807:0;yarn start
: 1508866480:0;rails routes
: 1508866489:0;rake routes
: 1508874952:0;yarn start
: 1508875792:0;rails s
: 1508875796:0;yarn start
: 1508876058:0;rake routes
: 1508876062:0;rails s
: 1508876072:0;yarn start
: 1508936376:0;cd Desktop/finalProj
: 1508936411:0;cd back
: 1508936416:0;git add .
: 1508936474:0;git commit -m "user serializer"
: 1508936479:0;git push
: 1508936489:0;cd ..
: 1508936494:0;cd Final-front
: 1508936499:0;git add .
: 1508936523:0;git commit -m "need to fix post-q"
: 1508936526:0;git push
: 1508936540:0;atom .
: 1508936584:0;rails s
: 1508936592:0;yarn start
: 1508938682:0;rails routes
: 1508947815:0;rails c
: 1508956440:0;rails s
: 1508962148:0;git add .
: 1508962158:0;git commit -m "mvp"
: 1508962166:0;git push
: 1508962177:0;git add  .
: 1508962187:0;git commit -m "mvp"
: 1508962191:0;git push
: 1508963962:0;rails s
: 1508970107:0;git add .
: 1508970120:0;git commit -m "started styling"
: 1508970126:0;git push
: 1508970137:0;git add .
: 1508970155:0;git commit -m "started styling"
: 1508970174:0;git push
: 1509022608:0;rails s
: 1509022615:0;yarn start
: 1509031616:0;git add .
: 1509031629:0;git commit -m "demo"
: 1509031637:0;git add .
: 1509031644:0;git commit -m "demo"
: 1509031648:0;git push
: 1509031720:0;git co
: 1509031726:0;git co -b dev
: 1509031744:0;git co -b dev2
: 1509031751:0;git add .
: 1509031768:0;atom .
: 1509036845:0;git co -b dev2
: 1509036848:0;git add .
: 1509036890:0;rails db:drop
: 1509036900:0;rails db:create
: 1509036907:0;rails db:migrate
: 1509036912:0;rails db:seed
: 1509036920:0;rails s
: 1509039292:0;git add .
: 1509039307:0;git commit -m "demo seeded"
: 1509039316:0;git push
: 1509039340:0;rails db:drop
: 1509039350:0;rails db:create
: 1509039356:0;rails db:migrate
: 1509039361:0;rails db:seed
: 1509039379:0;rails s
: 1509039415:0;git add .
: 1509039431:0;git commit -m "demo2"
: 1509039434:0;git push
: 1509039441:0;yarn start
: 1509041803:0;git add .
: 1509041821:0;git commit -m "news links"
: 1509041825:0;git push
: 1509042970:0;atom .
: 1509071857:0;git add .
: 1509071870:0;git commit -m "demo done"
: 1509071874:0;git push
: 1509071891:0;git add .
: 1509071904:0;git commit -m "demo done"
: 1509071907:0;git push
: 1509071921:0;git merge master
: 1509071959:0;git pull origin master
: 1509071973:0;git co master
: 1509071986:0;git merge dev2
: 1509071992:0;git push
: 1509072006:0;git pull origin master
: 1509072012:0;git co master
: 1509072028:0;git merge dev2
: 1509072032:0;git push
: 1509410550:0;ls
: 1509410571:0;cd Applications
: 1509410573:0;ls
: 1509410575:0;ls -a
: 1509410578:0;cd ..
: 1509410595:0;cd Desktop
: 1509410696:0;cd ..
: 1509410724:0;cd Desktop
: 1509410775:0;mkdir practice && cd practice
: 1509410891:0;touch shuffle_deck.js && atom .
: 1509411212:0;open index.html
: 1509421265:0;python
: 1509421329:0;node
: 1509421490:0;python
: 1509577893:0;open .
: 1509578896:0;cd Desktop/mod-2-first-round-primary-assessment-web-071717
: 1509578899:0;atom .
: 1509579645:0;bundle
: 1509579727:0;rake db:migrate
: 1509579742:0;bundle
: 1509579989:0;rake db:migrate
: 1509579999:0;rake db:seed
: 1509580042:0;rails s
: 1509731036:0;ssh 
: 1509734582:0;ssh root@192.168.1.208
: 1509734616:0;sudo ssh root@192.168.1.208
: 1509734744:0;ssh alarm@192.168.1.208
: 1509735473:0;ssh root@192.168.1.208
: 1509735612:0;ssh2 root@192.168.1.208
: 1509735619:0;ssh root@192.168.1.208
: 1509737616:0;ssh sean@192.168.1.208
: 1509737624:0;ssh dean@192.168.1.208
: 1509985904:0;cd Development
: 1509985923:0;mkdir cstrack && cd cstrack
: 1509985941:0;git clone git@github.com:deanban/recursion-lab-web-071717.git
: 1509985958:0;atom recursion-lab-web-071717
: 1509986152:0;npm install
: 1509986164:0;cd recursion-lab-web-071717
: 1509986168:0;npm install
: 1509986184:0;npm start
: 1509986216:0;yarn start
: 1509986289:0;open index.html
: 1509987425:0;cd ..
: 1509987436:0;rm -rf recursion-lab-web-071717
: 1509987648:0;git clone git@github.com:deanban/recursion-lab-web-071717.git
: 1509987659:0;cd recursion-lab-web-071717
: 1509987810:0;learn
: 1509987950:0;atom recursion-lab-web-071717
: 1509988115:0;learn
: 1510001788:0;learn submit
: 1510169441:0;cd Desktop/newfeed
: 1510169509:0;node -v
: 1510169542:0;npm i -g gulp
: 1510169562:0;npm i -g turbo-cli
: 1510169583:0;webpack -v
: 1510169597:0;turbo version
: 1510169608:0;webpack version
: 1510169618:0;npm i -g webpack
: 1510169678:0;turbo new feed --react
: 1510169690:0;cd fee
: 1510169693:0;cd feed
: 1510169702:0;yarn install
: 1510169747:0;turbo devserver
: 1510169804:0;turbo theme
: 1510169811:0;turbo themes
: 1510169862:0;turbo theme editorial
: 1510169872:0;webpack -w
: 1510169920:0;atom .
: 1510174243:0;cd test_te
: 1510174247:0;cd Desktop/test_template
: 1510174452:0;create-react-app bla
: 1510174469:0;yarn add create-react-app webpack
: 1510174507:0;create-react-app
: 1510174529:0;yarn add -g create-react-app webpack
: 1510174555:0;cd ..
: 1510174571:0;cd 
: 1510174578:0;cd Desktop/test-react
: 1510174586:0;create-react-app test
: 1510174605:0;npm install -g create-react-app webpack
: 1510174644:0;create-react-app test
: 1510174668:0;yarn start
: 1510174682:0;cd test
: 1510174685:0;yarn start
: 1510174876:0;open .
: 1510174916:0;atom .
: 1510175497:0;yarn start
: 1510241635:0;cd Desktop/testsite2
: 1510241697:0;create-react-app personal
: 1510241724:0;cd personal
: 1510241731:0;yarn start
: 1510241934:0;atom .
: 1510247613:0;cd ..
: 1510247629:0;create-react-app personal2
: 1510247647:0;cd personal2
: 1510247807:0;yarn start
: 1510247839:0;atom .
: 1510248023:0;cd ..
: 1510248026:0;cd personal
: 1510248028:0;yarn start
: 1510248207:0;cd ..
: 1510248211:0;cd personal2
: 1510248229:0;yarn start
: 1510261956:0;git init
: 1510262143:0;git remote add origin git@github.com:deanban/Personal-site.git
: 1510262147:0;git add .
: 1510262176:0;git commit -m "ready for deployment"
: 1510262208:0;git push
: 1510262402:0;git add .
: 1510262406:0;git commit -m "ready for deployment"
: 1510262410:0;git push
: 1510265302:0;git add .
: 1510265316:0;git commit -m "ready"
: 1510265328:0;git push
: 1510266436:0;git add .
: 1510266438:0;git commit -m "ready"
: 1510266441:0;git push
: 1510549221:0;"/Applications/Postgres.app/Contents/Versions/10/bin/psql" -p5432 -d "auth-scratch_development"
: 1510587185:0;cd Desktop/testsite2/personal
: 1510587191:0;atom .
: 1510587443:0;yarn start
: 1510590596:0;cd ..
: 1510592613:0;cd Desktop/testsite2/per
: 1510592615:0;cd Desktop/testsite2/personal
: 1510592621:0;atom .
: 1510592639:0;yarn start
: 1510592649:0;cd ..
: 1510592654:0;cd personal2
: 1510592661:0;atom .
: 1510592676:0;yarn start
: 1510604434:0;cd ..
: 1510604449:0;cd personal2
: 1510604454:0;yarn start
: 1510604535:0;git add .
: 1510604543:0;git commit -m "done"
: 1510604546:0;git push
: 1510604555:0;cd ..
: 1510604583:0;create-react-app personal3
: 1510604638:0;atom .
: 1510604684:0;cd personal3
: 1510604697:0;yarn start
: 1510611813:0;git init
: 1510611823:0;git remote add origin git@github.com:deanban/Personal-site-2.git
: 1510611864:0;git add .
: 1510611894:0;git commit -m "added most stuffs. Will need to change texts"
: 1510611927:0;git push -u origin master
: 1510612127:0;git add .
: 1510612130:0;git commit -m "added most stuffs. Will need to change texts"
: 1510612132:0;git push -u origin master
: 1510760632:0;cd Desktop/testsite2
: 1510760634:0;ls
: 1510760643:0;cd personal3
: 1510760652:0;atom .
: 1510760660:0;yarn start
: 1510766404:0;git add .
: 1510766449:0;git commit -m "skeleton done with contact, education, portfolio, and resume components"
: 1510766454:0;git push
: 1510768740:0;git add .
: 1510768742:0;git commit -m "skeleton done with contact, education, portfolio, and resume components"
: 1510768744:0;git push
: 1510771262:0;git add .
: 1510771276:0;git commit -m "skeleton done"
: 1510771280:0;git push
: 1510860533:0;cd Desktop/testsite2
: 1510860539:0;cd personal3
: 1510860543:0;atom .
: 1510860569:0;as 
: 1510860630:0;yarn start
: 1510861062:0;atom .
: 1510865433:0;git add .
: 1510865451:0;git commit -m "minor changes"
: 1510865463:0;git push
: 1510865939:0;atom .
: 1510871106:0;git add .
: 1510871119:0;git commit -m "skeleton done"
: 1510871122:0;git push
: 1510939038:0;cd Desktop/suddi.github.io-master
: 1510939044:0;ls
: 1510939097:0;yarn install
: 1510939135:0;npm run bundle
: 1510939155:0;npm start
: 1510939217:0;atom .
: 1510939756:0;yarn start
: 1510940166:0;cd
: 1510940202:0;cd Desktop/testsite2
: 1510940221:0;create-react-app personal4
: 1510940248:0;atom .
: 1510940260:0;cd personal4
: 1510940267:0;atom .
: 1510940310:0;yarn start
: 1510941562:0;atom .
: 1510944402:0;cd
: 1510944403:0;ls
: 1510944417:0;cd build
: 1510944418:0;ls
: 1510945009:0;cd
: 1510945017:0;cd Desktop/Kards10
: 1510945019:0;atom .
: 1510945029:0;open index.html
: 1510956723:0;git init
: 1510956734:0;git remote add origin git@github.com:deanban/Personal-HTML.git
: 1510956739:0;git add .
: 1510956770:0;git commit -m "skeleton done"
: 1510956779:0;git push -u origin master
: 1510957032:0;git add .
: 1510957034:0;git commit -m "skeleton done"
: 1510957036:0;git push -u origin master
: 1510957158:0;git add .
: 1510957161:0;git commit -m "skeleton done"
: 1510957164:0;git push -u origin master
: 1511284418:0;cd Desktop/fda
: 1511284485:0;rails new food --api -d postgresql
: 1511284550:0;cd food
: 1511284554:0;atom .
: 1511287987:0;bundle
: 1511289989:0;rails g migration Recall
: 1511290108:0;rails g model Recall 
: 1511291967:0;rails db:create
: 1511291974:0;rails db:migrate
: 1511292081:0;bundle
: 1511292098:0;rails db:seed
: 1511293063:0;rails db:drop
: 1511293069:0;rails db:create
: 1511293073:0;rails db:migrate
: 1511293243:0;rails db:seed
: 1511293518:0;rails db:drop
: 1511293522:0;rails db:migrate
: 1511293532:0;rails db:create
: 1511293535:0;rails db:migrate
: 1511293541:0;rails db:seed
: 1511293850:0;Rails c
: 1511293887:0;rails db:reset
: 1511293899:0;Rails c
: 1511294148:0;rails db:reset
: 1511294174:0;Rails c
: 1511294213:0;rails db:drop
: 1511294218:0;rails db:create
: 1511294225:0;rails db:migrate
: 1511294264:0;rails db:seed
: 1511294270:0;Rails c
: 1511294376:0;rails db:reset
: 1511294781:0;clear
: 1511294785:0;Rails c
: 1511294815:0;rails db:drop
: 1511294820:0;rails db:create
: 1511294825:0;rails db:migrate
: 1511294830:0;rails db:seed
: 1511294834:0;Rails c
: 1511295275:0;rails db:drop
: 1511295280:0;rails db:create
: 1511295286:0;rails db:migrate
: 1511295291:0;rails db:seed
: 1511295352:0;rails db:drop
: 1511295356:0;rails db:create
: 1511295360:0;rails db:migrate
: 1511295365:0;rails db:seed
: 1511295401:0;rails c
: 1511295510:0;rails g controller /api/v1/recalls 
: 1511295603:0;rails g controller "api/v1/recalls" 
: 1511295748:0;rails s
: 1511296081:0;rails routes
: 1511296111:0;rails s
: 1511296154:0;rails routes
: 1511296317:0;rails s
: 1511296474:0;git remote add origin git@github.com:deanban/FDA-Recalls.git
: 1511296484:0;git add .
: 1511296499:0;git commit -m "backend MVP done"
: 1511296517:0;git push -u origin master
: 1511297579:0;cd ..
: 1511297581:0;ls
: 1511297731:0;create-react-app recalls
: 1511297751:0;cd recalls
: 1511297756:0;yarn start
: 1511297790:0;git init
: 1511297801:0;git remote add origin git@github.com:deanban/FDA-Recalls-Front.git
: 1511297809:0;atom .
: 1511297828:0;git add .
: 1511297840:0;git commit -m "started"
: 1511297847:0;git push
: 1511298135:0;yarn add redux
: 1511298148:0;yarn add react-redux
: 1511298157:0;yarn add react-thunk
: 1511298197:0;yarn remove react-thunk
: 1511298209:0;yarn add redux-thunk
: 1511298227:0;yarn add redux-devtools-extention
: 1511298235:0;yarn add redux-devtools-extension
: 1511299037:0;yarn start
: 1511299265:0;yarn install react-router-dom
: 1511299273:0;yarn add react-router-dom
: 1511299280:0;yarn start
: 1511299441:0;yarn add react-router
: 1511299447:0;yarn start
: 1511301361:0;atom .
: 1511301687:0;bundle
: 1511301693:0;rails s
: 1511303719:0;git add .
: 1511303750:0;git commit -m "fixed cors"
: 1511303754:0;git push
: 1511303770:0;git add .
: 1511303785:0;git commit -m "initial redux setup"
: 1511303791:0;git push
: 1511655930:0;cd Desktop/Kards10
: 1511655935:0;git diff
: 1511655995:0;git co -b dev
: 1511655998:0;ls
: 1511656020:0;git add .
: 1511656050:0;git commit -m "dev"
: 1511656053:0;git push
: 1511656077:0;git co master
: 1511656080:0;ls
: 1511656102:0;touch composer.json
: 1511656117:0;touch index.php
: 1511656128:0;vim index.php
: 1511656160:0;vim composer.json
: 1511656212:0;cp index.html home.html
: 1511656214:0;ls
: 1511656224:0;vim home html
: 1511656240:0;ls
: 1511656250:0;vim home.html
: 1511656312:0;git add .
: 1511656325:0;git commit -m "deploy"
: 1511656333:0;git push
: 1511656427:0;ls
: 1517272305:0;diskutil list
: 1517272605:0;unmount /dev/disk2
: 1517272621:0;unmountDisk /dev/disk2
: 1517272763:0;diskutil list
: 1517272776:0;unmountDisk /dev/disk2
: 1517272786:0;diskutil unmountDisk /dev/disk2
: 1517272918:0;open ~/Downloads
: 1517273004:0;cd home
: 1517273062:0;cd Users/dean/Downloads
: 1517273142:0;sudo dd if=Users/dean/Downloads/Win10_1709_English_x64.iso of=/dev/disk2 bs=1m\

: 1517273186:0;sudo dd if=/Users/dean/Downloads/Win10_1709_English_x64.iso  of=/dev/disk2 bs=1m
: 1517276658:0;diskutil unmountDisk /dev/disk2
: 1519787031:0;brew update
: 1519787136:0;rvm update
: 1521679132:0;vim -v
: 1521679264:0;vimtutor
: 1521680119:0;vim tutor
: 1521680652:0;ls
: 1521680665:0;tutor
: 1521680679:0;cd Development
: 1521680680:0;ls
: 1521680694:0;cd 
: 1521680720:0;mv tutor ~/Development
: 1521680722:0;ls
: 1521680727:0;cd Development
: 1521680780:0;ls
: 1521680791:0;cd projects
: 1521680792:0;ls
: 1521680823:0;cd flatiron_assessment_app
: 1521680824:0;ls
: 1521680844:0;git history
: 1521680862:0;git log
: 1521680941:0;bundle update
: 1521681076:0;git add 
: 1521681080:0;git add .
: 1521681103:0;git commit -m "bundler update"
: 1521681121:0;git push
: 1521681171:0;gem update bundler
: 1521681194:0;ruby -v
: 1521681208:0;rvm --version
: 1521681218:0;rvm
: 1521681243:0;rvm list
: 1521681282:0;rvm
: 1521681292:0;rvm list known
: 1521829607:0;vimtutor
: 1521833420:0;cd Development
: 1521833422:0;ls
: 1521833429:0;vim tutor
: 1521941871:0;vimtutor
: 1521941901:0;cd Development
: 1521941906:0;vim tutor
: 1522090365:0;vimtutor
: 1522090595:0;cd Development
: 1522090602:0;vim tutor
: 1522097251:0;cd
: 1522097260:0;git clone https://github.com/VundleVim/Vundle.vim.git ~/.vim/bundle/Vundle.vim
: 1522097274:0;ls
: 1522097278:0;ls -a
: 1522097357:0;vim vimrc
: 1522097368:0;vim ~/.vimrc
: 1522097420:0;:echo $MYVIMRC
: 1522097424:0;echo $MYVIMRC
: 1522097600:0;vim ~/.vimrc
: 1522097662:0;git clone --depth=1 https://github.com/amix/vimrc.git ~/.vim_runtime\
sh ~/.vim_runtime/install_awesome_vimrc.sh
: 1522097678:0;ls
: 1522097682:0;ls -a
: 1522097695:0;vim vimrc
: 1522097713:0;vimtutor
: 1522097735:0;vim ~/.vimrc
: 1522097781:0;cd ~/.vim_runtime
: 1522097789:0;git pull --rebase
: 1522097866:0;cd
: 1522097867:0;ls
: 1522097869:0;ls -a
: 1522097912:0;rm -rf ~/.vim_runtime
: 1522097929:0;rm -rf ~/.vimrc
: 1522097934:0;ls -a
: 1522097947:0;rm -rf ~/.vim_mru_files
: 1522097957:0;ls -a
: 1522097962:0;vim a
: 1522098100:0;tmux -v
: 1522098107:0;tmux --version
: 1522098211:0;cd .vim
: 1522098213:0;ls
: 1522098220:0;cd bundle
: 1522098222:0;ls
: 1522098240:0;c
: 1522098241:0;cd
: 1522098250:0;touch ~/.vimrc
